x,y,Hour,Weekday,mean,std,upper_threshold,lower_threshold,deviation_type
2025-03-20 05:00:00,19,5,3,28.1875,30.70552339020891,89.59854678041782,-33.22354678041782,Normal
2025-03-20 06:00:00,3,6,3,28.0625,30.56025468916558,89.18300937833115,-33.05800937833116,Normal
2025-03-20 07:00:00,3,7,3,29.6875,33.191803707140316,96.07110741428063,-36.69610741428063,Normal
2025-03-20 08:00:00,96,8,3,105.0,76.98214078602906,258.9642815720581,-48.96428157205813,Normal
2025-03-20 09:00:00,219,9,3,154.35294117647058,108.77955987711488,371.91206093070036,-63.206178577759175,Normal
2025-03-20 10:00:00,176,10,3,184.0,119.39953936259555,422.79907872519107,-54.799078725191094,Normal
2025-03-20 11:00:00,276,11,3,187.64705882352942,125.50793858182367,438.66293598717675,-63.36881834011791,Normal
2025-03-20 12:00:00,237,12,3,227.52941176470588,158.06055708456284,543.6505259338315,-88.5917024044198,Normal
2025-03-20 13:00:00,232,13,3,234.05882352941177,162.77840404528303,559.6156316199779,-91.49798456115428,Normal
2025-03-20 14:00:00,215,14,3,197.11764705882354,151.76045365679968,500.6385543724229,-106.40326025477583,Normal
2025-03-20 15:00:00,165,15,3,179.2941176470588,141.68705158988698,462.6682208268328,-104.07998553271514,Normal
2025-03-20 16:00:00,183,16,3,157.41176470588235,120.86565828613675,399.1430812781558,-84.31955186639115,Normal
2025-03-20 17:00:00,125,17,3,127.52941176470588,88.35872738944553,304.246866543597,-49.18804301418518,Normal
2025-03-20 18:00:00,198,18,3,98.88235294117646,80.01475047838146,258.9118538979394,-61.14714801558645,Normal
2025-03-20 19:00:00,32,19,3,59.588235294117645,48.21573760652404,156.0197105071657,-36.84323991893043,Normal
2025-03-20 20:00:00,69,20,3,39.1764705882353,35.15365431594141,109.48377922011812,-31.130838043647522,Normal
2025-03-20 21:00:00,45,21,3,32.94117647058823,31.514819109895136,95.9708146903785,-30.08846174920204,Normal
2025-03-20 22:00:00,3,22,3,26.88235294117647,32.53629195402646,91.9549368492294,-38.19023096687645,Normal
2025-03-20 23:00:00,3,23,3,27.875,32.55533750401,92.98567500802,-37.235675008019996,Normal
2025-03-21 00:00:00,3,0,4,29.125,30.63521938336115,90.3954387667223,-32.1454387667223,Normal
2025-03-21 01:00:00,20,1,4,28.625,30.56986533608983,89.76473067217967,-32.51473067217966,Normal
2025-03-21 02:00:00,3,2,4,30.266666666666666,31.31970321576834,92.90607309820334,-32.37273976487001,Normal
2025-03-21 03:00:00,2,3,4,27.625,33.21821789319831,94.06143578639661,-38.811435786396615,Normal
2025-03-21 04:00:00,3,4,4,27.6875,32.41341029059835,92.5143205811967,-37.1393205811967,Normal
2025-03-21 05:00:00,2,5,4,28.1875,30.70552339020891,89.59854678041782,-33.22354678041782,Normal
2025-03-21 06:00:00,19,6,4,28.0625,30.56025468916558,89.18300937833115,-33.05800937833116,Normal
2025-03-21 07:00:00,3,7,4,29.6875,33.191803707140316,96.07110741428063,-36.69610741428063,Normal
2025-03-21 08:00:00,2,8,4,105.0,76.98214078602906,258.9642815720581,-48.96428157205813,Normal
2025-03-21 09:00:00,22,9,4,154.35294117647058,108.77955987711488,371.91206093070036,-63.206178577759175,Normal
2025-03-21 10:00:00,110,10,4,184.0,119.39953936259555,422.79907872519107,-54.799078725191094,Normal
2025-03-21 11:00:00,72,11,4,187.64705882352942,125.50793858182367,438.66293598717675,-63.36881834011791,Normal
2025-03-21 12:00:00,3,12,4,227.52941176470588,158.06055708456284,543.6505259338315,-88.5917024044198,Normal
2025-03-21 13:00:00,3,13,4,234.05882352941177,162.77840404528303,559.6156316199779,-91.49798456115428,Normal
2025-03-21 14:00:00,2,14,4,197.11764705882354,151.76045365679968,500.6385543724229,-106.40326025477583,Normal
2025-03-21 15:00:00,3,15,4,179.2941176470588,141.68705158988698,462.6682208268328,-104.07998553271514,Normal
2025-03-21 16:00:00,19,16,4,157.41176470588235,120.86565828613675,399.1430812781558,-84.31955186639115,Normal
2025-03-21 17:00:00,4,17,4,127.52941176470588,88.35872738944553,304.246866543597,-49.18804301418518,Normal
