x,y,Hour,Weekday,mean,std,upper_threshold,lower_threshold,deviation_type
2025-03-23 14:00:00,0,14,6,31.529411764705884,25.698048678496058,82.925509121698,-19.86668559228623,Normal
2025-03-23 15:00:00,0,15,6,25.875,38.14861290619446,102.17222581238892,-50.422225812388916,Normal
2025-03-23 16:00:00,0,16,6,13.4375,12.780029994748315,38.99755998949663,-12.12255998949663,Normal
2025-03-23 17:00:00,0,17,6,9.125,11.615363389350618,32.35572677870124,-14.105726778701236,Normal
2025-03-23 18:00:00,1,18,6,19.1875,20.471830238973098,60.131160477946196,-21.756160477946196,Normal
2025-03-23 19:00:00,0,19,6,14.5625,18.9489445616372,52.4603891232744,-23.335389123274403,Normal
2025-03-23 20:00:00,0,20,6,4.764705882352941,7.344465703547688,19.453637289448316,-9.924225524742436,Normal
2025-03-23 21:00:00,0,21,6,0.11764705882352941,0.3321055820775357,0.7818582229786009,-0.546564105331542,Normal
2025-03-23 22:00:00,0,22,6,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Normal
2025-03-23 23:00:00,0,23,6,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-24 00:00:00,0,0,0,0.0,0.0,0.0,0.0,Normal
2025-03-24 01:00:00,0,1,0,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-24 02:00:00,0,2,0,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-24 03:00:00,0,3,0,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Normal
2025-03-24 04:00:00,0,4,0,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-24 05:00:00,0,5,0,0.13333333333333333,0.35186577527449836,0.83706488388233,-0.5703982172156634,Normal
2025-03-24 06:00:00,27,6,0,17.0,15.786069808536892,48.57213961707379,-14.572139617073784,Normal
2025-03-24 07:00:00,2,7,0,10.333333333333334,11.805971047777154,33.94527542888764,-13.278608762220975,Normal
2025-03-24 08:00:00,19,8,0,17.6875,17.734030374771926,53.15556074954385,-17.780560749543852,Normal
2025-03-24 09:00:00,29,9,0,31.5625,22.733143938605,77.02878787721,-13.90378787721,Normal
2025-03-24 10:00:00,48,10,0,60.4375,78.62397323123952,217.68544646247904,-96.81044646247904,Normal
2025-03-24 11:00:00,118,11,0,86.3529411764706,60.79981617619271,207.95257352885602,-35.24669117591482,Normal
2025-03-24 12:00:00,18,12,0,27.0625,27.586152927389733,82.23480585477947,-28.109805854779466,Normal
2025-03-24 13:00:00,88,13,0,43.529411764705884,34.7061191417645,112.94165004823489,-25.882826518823123,Normal
2025-03-24 14:00:00,46,14,0,31.529411764705884,25.698048678496058,82.925509121698,-19.86668559228623,Normal
2025-03-24 15:00:00,24,15,0,25.875,38.14861290619446,102.17222581238892,-50.422225812388916,Normal
2025-03-24 16:00:00,2,16,0,13.4375,12.780029994748315,38.99755998949663,-12.12255998949663,Normal
2025-03-24 17:00:00,22,17,0,9.125,11.615363389350618,32.35572677870124,-14.105726778701236,Normal
2025-03-24 18:00:00,32,18,0,19.1875,20.471830238973098,60.131160477946196,-21.756160477946196,Normal
2025-03-24 19:00:00,29,19,0,14.5625,18.9489445616372,52.4603891232744,-23.335389123274403,Normal
2025-03-24 20:00:00,0,20,0,4.764705882352941,7.344465703547688,19.453637289448316,-9.924225524742436,Normal
2025-03-24 21:00:00,0,21,0,0.11764705882352941,0.3321055820775357,0.7818582229786009,-0.546564105331542,Normal
2025-03-24 22:00:00,0,22,0,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Normal
2025-03-24 23:00:00,0,23,0,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-25 00:00:00,0,0,1,0.0,0.0,0.0,0.0,Normal
2025-03-25 01:00:00,0,1,1,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-25 02:00:00,0,2,1,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-25 03:00:00,0,3,1,0.0625,0.24999999999999997,0.5625,-0.43749999999999994,Normal
2025-03-25 04:00:00,0,4,1,0.06666666666666667,0.2581988897471611,0.5830644461609888,-0.44973111282765554,Normal
2025-03-25 05:00:00,0,5,1,0.13333333333333333,0.35186577527449836,0.83706488388233,-0.5703982172156634,Normal
2025-03-25 06:00:00,16,6,1,17.0,15.786069808536892,48.57213961707379,-14.572139617073784,Normal
2025-03-25 07:00:00,4,7,1,10.333333333333334,11.805971047777154,33.94527542888764,-13.278608762220975,Normal
2025-03-25 08:00:00,53,8,1,17.6875,17.734030374771926,53.15556074954385,-17.780560749543852,Normal
2025-03-25 09:00:00,45,9,1,31.5625,22.733143938605,77.02878787721,-13.90378787721,Normal
2025-03-25 10:00:00,322,10,1,60.4375,78.62397323123952,217.68544646247904,-96.81044646247904,Above Normal
2025-03-25 11:00:00,147,11,1,86.3529411764706,60.79981617619271,207.95257352885602,-35.24669117591482,Normal
2025-03-25 12:00:00,4,12,1,27.0625,27.586152927389733,82.23480585477947,-28.109805854779466,Normal
2025-03-25 13:00:00,71,13,1,43.529411764705884,34.7061191417645,112.94165004823489,-25.882826518823123,Normal
2025-03-25 14:00:00,59,14,1,31.529411764705884,25.698048678496058,82.925509121698,-19.86668559228623,Normal
2025-03-25 15:00:00,27,15,1,25.875,38.14861290619446,102.17222581238892,-50.422225812388916,Normal
