x,y,Hour,Weekday,mean,std,upper_threshold,lower_threshold,deviation_type
2025-03-26 14:00:00,52,14,2,49.8235294117647,7.576569920795681,64.97666925335606,34.67038957017334,Normal
2025-03-26 15:00:00,58,15,2,238.94117647058823,333.5591159352858,906.0594083411597,-428.1770553999833,Normal
2025-03-26 16:00:00,52,16,2,48.470588235294116,7.795171959767978,64.06093215483007,32.88024431575816,Normal
2025-03-26 17:00:00,54,17,2,293.70588235294116,576.1272390611603,1445.9603604752617,-858.5485957693793,Normal
2025-03-26 18:00:00,1876,18,2,617.7058823529412,790.6293193325398,2198.9645210180206,-963.5527563121384,Normal
2025-03-26 19:00:00,48,19,2,117.94117647058823,296.9592713210507,711.8597191126896,-475.9773661715132,Normal
2025-03-26 20:00:00,45,20,2,42.588235294117645,4.730999148295893,52.05023359070943,33.12623699752586,Normal
2025-03-26 21:00:00,32,21,2,33.294117647058826,2.6164075055874076,38.52693265823364,28.06130263588401,Normal
2025-03-26 22:00:00,28,22,2,30.764705882352942,2.7048431508293116,36.174392184011566,25.355019580694318,Normal
2025-03-26 23:00:00,29,23,2,31.0,2.2211108331943574,35.44222166638872,26.557778333611285,Normal
2025-03-27 00:00:00,28,0,3,30.375,2.7537852736430515,35.8825705472861,24.867429452713896,Normal
2025-03-27 01:00:00,28,1,3,30.75,2.9776948578836393,36.70538971576728,24.79461028423272,Normal
2025-03-27 02:00:00,30,2,3,32.0,3.5856858280031796,39.17137165600636,24.828628343993643,Normal
2025-03-27 03:00:00,30,3,3,32.1875,3.3509948771471856,38.889489754294374,25.48551024570563,Normal
2025-03-27 04:00:00,28,4,3,31.125,2.986078811194819,37.09715762238964,25.152842377610362,Normal
2025-03-27 05:00:00,29,5,3,31.125,3.2223180062391936,37.569636012478384,24.680363987521613,Normal
2025-03-27 06:00:00,30,6,3,31.625,2.362907813126304,36.35081562625261,26.899184373747392,Normal
2025-03-27 07:00:00,41,7,3,38.5625,3.9994791327538306,46.56145826550766,30.56354173449234,Normal
2025-03-27 08:00:00,53,8,3,48.0,7.097534783289195,62.19506956657839,33.80493043342161,Normal
2025-03-27 09:00:00,50,9,3,48.35294117647059,6.363383302836906,61.079707782144396,35.62617457079678,Normal
2025-03-27 10:00:00,49,10,3,50.35294117647059,6.6326953087582385,63.61833179398707,37.087550558954106,Normal
2025-03-27 11:00:00,55,11,3,51.05882352941177,6.703269614853021,64.46536275911781,37.65228429970573,Normal
2025-03-27 12:00:00,50,12,3,50.76470588235294,6.280221052685027,63.325147987723,38.204263776982884,Normal
2025-03-27 13:00:00,51,13,3,49.1764705882353,6.7010754185209604,62.57862142527722,35.774319751193374,Normal
2025-03-27 14:00:00,54,14,3,49.8235294117647,7.576569920795681,64.97666925335606,34.67038957017334,Normal
